iter	Passed	Remaining
983	21008	341
984	21025	320
985	21044	298
986	21064	277
987	21084	256
988	21101	234
989	21119	213
990	21139	191
991	21158	170
992	21184	149
993	21203	127
994	21221	106
995	21240	85
996	21258	63
997	21276	42
998	21294	21
999	21311	0
